image_id,qa_id,task,qa_type,question,ground_truth,predicted,score,overall,model
0000-0002,cnt1,count_bedrooms,counting_qa,How many bedrooms are available on the floor plan?,Three (3) bedrooms.,3,1.0,1.0,Gemini 3.1 Pro
0000-0002,cnt2,access_doors,counting_qa,How many doors give access to the LINGERIE room?,Three (3) doors.,"Based on the provided architectural drawing, there are **2** doors that give access to the LINGERIE room:
1.  One interior door connecting to the CUISINE.
2.  One interior door connecting to the GARAGE.

*(Note: The opening on the exterior wall is drawn with the standard symbol for a window in this plan, despite its height dimension).*",0.0,0.0,Gemini 3.1 Pro
0000-0002,cmp1,largest_bedrooms,comparison_qa,Which bedroom [CHAMBRE] has the largest area?,Chambre 1,"Based on the provided drawing, the areas of the bedrooms are:

*   **CHAMBRE 1:** 11.01 m²
*   **CHAMBRE 2:** 10.09 m²
*   **CHAMBRE 3:** 10.10 m²

**CHAMBRE 1** has the largest area.",1.0,1.0,Gemini 3.1 Pro
0000-0002,cmp2,largest_room,comparison_qa,Which room has the second largest area?,Garage,"Based on the provided floor plan, here are the areas of the enclosed rooms, ordered from largest to smallest:

1.  **SEJOUR:** $30.67\text{ m}^2$
2.  **GARAGE:** $18.20\text{ m}^2$
3.  **CHAMBRE 1:** $11.01\text{ m}^2$
4.  **CHAMBRE 3:** $10.10\text{ m}^2$
5.  **CHAMBRE 2:** $10.09\text{ m}^2$
6.  **CUISINE:** $9.97\text{ m}^2$
7.  **BAINS:** $5.90\text{ m}^2$
8.  **LINGERIE:** $5.81\text{ m}^2$
9.  **DEGT:** $3.71\text{ m}^2$
10. **WC:** $1.45\text{ m}^2$

*(Note: The TERRASSE ($22.00\text{ m}^2$) and ABRI ($1.19\text{ m}^2$) are outdoor spaces and typically not classified as rooms.)*

The room with the second largest area is the **Garage**.",1.0,1.0,Gemini 3.1 Pro
0000-0002,cmp3,access_to_terrace,comparison_qa,Which bedroom is most close to the ABRI?,CHAMBRE 3,"Based on the provided floor plan, the bedroom closest to the ABRI is **Chambre 3**.",1.0,1.0,Gemini 3.1 Pro
0000-0004,ocr1,read_room_label,ocr_qa,What is the area of the small TOILET between the CHAMBRE 1 and the CHAMBRE 2?,2.70 m²,"Based on the provided architectural drawing, the area of the small TOILET (labeled ""TOIL."") located between CHAMBRE 1 and CHAMBRE 2 is **2.70 m²**.",1.0,1.0,Gemini 3.1 Pro
0000-0004,ocr2,read_area_text,ocr_qa,What is the area of the Chambre 2 in square meters?,11.63 m²,"Based on the architectural drawing, the area of Chambre 2 is **11.63 m²**.",1.0,1.0,Gemini 3.1 Pro
0000-0004,sp1,adjacency,spatial_qa,Which room is directly connected to the GARAGE with an internal door?,The A. CUISINE and the ABRI VOITURE.,"Based on the provided floor plan, the room directly connected to the GARAGE with an internal door is **A.CUIS.**",1.0,1.0,Gemini 3.1 Pro
0000-0004,cnt1,dinning_chairs,counting_qa,How many chairs are shown in the CUISINE room?,Five (5) chairs.,"Based on the architectural drawing, there are 4 chairs shown in the CUISINE room.",0.0,0.0,Gemini 3.1 Pro
0000-0004,cmp1,largest_bedrooms,comparison_qa,Which bedroom [CHAMBRE] has the largest area?,Chambre 1,"Based on the provided drawing, the areas for the bedrooms are:

*   **CHAMBRE 1:** 11.88 m²
*   **CHAMBRE 2:** 11.63 m²
*   **CHAMBRE 3:** 11.45 m²

**CHAMBRE 1** has the largest area.",1.0,1.0,Gemini 3.1 Pro
0000-0004,cmp2,largest_room,comparison_qa,Which room has the second largest area?,Garage,"Based on the provided floor plan, the room with the second largest area is the **GARAGE** ($23.56\text{ m}^2$).",1.0,1.0,Gemini 3.1 Pro
0000-0004,cmp3,largest_toilet,comparison_qa,"Which toilet( TOILET, W.C or BAINS) has the largest area?",The BAINS.,"Based on the provided drawing, the areas are:
*   **BAINS:** 5.90 m²
*   **TOIL.:** 2.70 m²
*   **W.C:** 1.53 m²

**BAINS** has the largest area.",1.0,1.0,Gemini 3.1 Pro
0000-0005,ocr1,read_room_label,ocr_qa,What is the size of the ABRI VOITURE in square meters?,16.00 m²,"Based on the drawing, the size of the ABRI VOITURE is **16.00 m²**.",1.0,1.0,Gemini 3.1 Pro
0000-0005,ocr2,read_area_text,ocr_qa,What is the area of the BAINS room in square meters?,6.31 m²,6.31 m²,1.0,1.0,Gemini 3.1 Pro
0000-0005,sp1,access_to_terrace,spatial_qa,Which bedroom has a window access to the terrace?,Chambre 3,"Based on the provided floor plan, **Chambre 3** has window access to the terrace.",1.0,1.0,Gemini 3.1 Pro
0000-0005,cnt1,access_to_degt,counting_qa,How many doors give access to the DEGT space?,Six (6) doors,"Based on the provided floor plan, there are **5** doors that give access to the DEGT space.",0.0,0.0,Gemini 3.1 Pro
0000-0005,cmp1,largest_bedrooms,comparison_qa,Which bedroom [CHAMBRE] has the largest area?,Chambre 1,"Based on the provided floor plan, the areas of the bedrooms are:

*   CHAMBRE 1: 10.95 m²
*   CHAMBRE 2: 10.20 m²
*   CHAMBRE 3: 10.02 m²

**CHAMBRE 1** has the largest area.",1.0,1.0,Gemini 3.1 Pro
0000-0005,cmp2,largest_room,comparison_qa,Which room has the largest area in m²?,SALON and SEJOUR 44.38 m²,"Based on the provided floor plan, the room with the largest area is the **Salon/Sejour** (living/dining room) at **44.38 m²**.",1.0,1.0,Gemini 3.1 Pro
0000-0005,cmp3,adjacency,comparison_qa,Which bedroom is closer to the W.C?,Chambre 1,"Based on the provided floor plan, **Chambre 1** is the closest bedroom to the W.C.",1.0,1.0,Gemini 3.1 Pro
0000-0005,cmp4,larger_area,comparison_qa,"Which room has the larger area, the GARAGE or the ABRI VOITURE?",The GARAGE,"Based on the provided floor plan, the **GARAGE** has the larger area (32.88 m²) compared to the ABRI VOITURE (16.00 m²).",1.0,1.0,Gemini 3.1 Pro
1000-0001,ocr1,read_room_label,ocr_qa,What is the listed area of the 'Cuina-Estar-Menjador' on the Planta Baixa?,19.50 m²,"Based on the drawing, the listed area for the 'Cuina-Estar-Menjador' on the Planta Baixa is **19,50 m2**.",1.0,1.0,Gemini 3.1 Pro
1000-0001,ocr2,read_area_text,ocr_qa,What is the area of 'Dormitori 1' on the Planta Baixa?,8.10 m²,"Based on the provided drawing, the area of 'Dormitori 1' on the Planta Baixa is **8.10 m²**.",1.0,1.0,Gemini 3.1 Pro
1000-0001,ocr3,adjacency,ocr_qa,"What is the area of the adjacent room to CUINA-ESTAR-MENJADOR, to the left of the staircase, on Planta PIS 1-2-3?",9.70 m²,"Based on the drawing for ""PLANTA PIS 1ª-2ª-3ª"", the room adjacent to the CUINA-ESTAR-MENJADOR on the left side of the staircase is the DORMITORI.

Its area is **9,70 m2**.",1.0,1.0,Gemini 3.1 Pro
1000-0001,sp1,titleblock_location,spatial_qa,Where is the title block located relative to the entire sheet?,Bottom-right corner,"Based on the provided drawing, the title block is located in the **bottom right corner**.",1.0,1.0,Gemini 3.1 Pro
1000-0001,cnt1,count_bedrooms,counting_qa,How many bedrooms (dormitary) are available on the PLANTA BAIXA floor?,Two (2) bedrooms,"Based on the provided architectural drawing, there are **2** bedrooms (labeled as DORMITORI 1 and DORMITORI 2) on the PLANTA BAIXA floor.",1.0,1.0,Gemini 3.1 Pro
1000-0001,cmp1,largest_bedroom,comparison_qa,Which bedroom on Planta Baixa floor has the largest area?,Dormitori 2,"Based on the provided drawing, **Dormitori 2** on the Planta Baixa floor has the largest area (11.35 m² compared to Dormitori 1's 8.10 m²).",1.0,1.0,Gemini 3.1 Pro
1000-0001,cmp2,largest_room,comparison_qa,Which room has the largest area in the drawing?,Cuina-Estar-Menjador (Kitchen–Living–Dining),"Based on the area tables provided at the bottom of the drawing, the room with the largest area is the **Cuina-Est.-Menjador** in **PIS ""4º 1ª"" (DUPLEX)**, which has an area of **21.40 m²**.",1.0,1.0,Gemini 3.1 Pro
1000-0001,cmp3,closer_door,comparison_qa,Whose DORMITORI door has shorter travelling distance to the TRASTER room on the PLANTA BAIXA floor plan?,The door of Dormitori 1.,"Based on the PLANTA BAIXA floor plan, the door to **DORMITORI 1** has a shorter traveling distance to the TRASTER room.",1.0,1.0,Gemini 3.1 Pro
2000-0002,ocr1,read_floor_area,ocr_qa,What is the listed total square footage of the 1st floor?,914 SQUARE FEET,"Based on the drawing, the listed total square footage of the 1st floor is **914 square feet**.",1.0,1.0,Gemini 3.1 Pro
2000-0002,ocr2,read_safety_note,ocr_qa,What does the safety note say about smoke detectors near the hallway?,All smoke detectors linked w/ battery backup.,"Based on the drawing, the safety note says:

**""ALL SMOKE/CO DETECTORS LINKED W/ BATTERY BACKUP""**",1.0,1.0,Gemini 3.1 Pro
2000-0002,sp1,kitchen_appliances,spatial_qa,Which major appliances are located directly adjacent to the kitchen sink?,Dishwasher and the refrigerator.,"Based on the provided drawing, the major appliance located directly adjacent to the kitchen sink is the **dishwasher** (labeled ""DW"").",0.0,0.0,Gemini 3.1 Pro
2000-0002,sp2,adjacency,spatial_qa,Which room is directly adjacent to the Pantry?,The Kitchen,"Based on the provided drawing, the room directly adjacent to the Pantry is the **Kitchen**.",1.0,1.0,Gemini 3.1 Pro
2000-0002,sp3,adjacency,spatial_qa,"Which room is positioned directly beside the Stair, sharing the longest adjoining wall?",Bedroom 1,"Based on the provided floor plan, the room positioned directly beside the Stair and sharing the longest adjoining wall is the **Living Room**.",0.0,0.0,Gemini 3.1 Pro
2000-0002,cnt1,count_window,counting_qa,How many windows does the bedroom have?,One (1) window.,"Based on the architectural drawing, the bedroom (labeled ""BEDROOM 1"") has **2** windows.",0.0,0.0,Gemini 3.1 Pro
2000-0002,cmp1,largest_room,comparison_qa,Which room in the plan has the largest area?,Living Room,"Based on the dimensions provided in the floor plan, the **Kitchen** has the largest area.

*   **Kitchen:** ~15'-2"" wide × 16'-3 3/8"" deep
*   **Living Room:** ~15'-2"" wide × 10'-2 3/4"" deep
*   **Bedroom 1:** ~12'-10"" wide × 10'-2 3/4"" deep",0.0,0.0,Gemini 3.1 Pro
3000-0001,ocr1,read_room_label,ocr_qa,What is the name of the main bedroom shown in the plan?,MAIN BEDROOM,Main Bedroom,1.0,1.0,Gemini 3.1 Pro
3000-0001,ocr2,read_area_text,ocr_qa,What text describes the flooring type in the living room?,"HARDWOOD FLOOR, TYP.","Based on the drawing, the text describing the flooring type in the living room is:

**HARDWOOD FLOOR, TYP.**",1.0,1.0,Gemini 3.1 Pro
3000-0001,sp1,item_location,spatial_qa,Where are the woodstoves located?,Living Room (& Guest Room),"Based on the provided floor plan, the woodstove is located in the **Living Room**.",0.0,0.0,Gemini 3.1 Pro
3000-0001,sp2,adjacency,spatial_qa,Which room is directly connected to the MAIN BEDROOM?,the Hall,"Based on the floor plan, the room directly connected to the MAIN BEDROOM is the **HALL**.",1.0,1.0,Gemini 3.1 Pro
3000-0001,sp3,closest_to_staircase,spatial_qa,Which space gives the access to the STAIRS from the main bedroom?,the Kitchen,"Based on the provided floor plan, the space that gives access to the stairs from the main bedroom is the **Hall**.",0.0,0.0,Gemini 3.1 Pro
3000-0001,cnt1,count_windows,counting_qa,How many windows are available for the main bedroom?,Two (2) windows,"Based on the provided floor plan, there are **2** windows in the main bedroom.",1.0,1.0,Gemini 3.1 Pro
3000-0001,cmp1,largest_room,comparison_qa,Which room has the largest area?,Living Room (& Guest Room),"Based on the dimensions provided in the floor plan, the **Living Room** has the largest area.

*   **Living Room:** Depth is 16'-0"", width is approximately 13'-6"".
*   **Main Bedroom:** Depth is 13'-8"" (10'-0"" + 3'-8""), width is approximately 13'-6"".

Since they share the same width, the room with the greater depth (Living Room) has the larger area.",0.0,0.0,Gemini 3.1 Pro
3000-0001,cmp2,bigger_room,comparison_qa,"Which one is bigger? the COATS room behind the entrance, or the UTILITY CLOSET room?",The Utility closet,"The UTILITY CLOSET is bigger (3'-1"" x 3'-1"") compared to the COATS room (2'-4"" x 2'-4"").",1.0,1.0,Gemini 3.1 Pro
3000-0002,ocr1,read_slope,ocr_qa,What is the roof slope indicated at the back addition?,2.5/12,"Based on the provided drawing, the roof slope indicated at the back addition is **2.5/12**.",1.0,1.0,Gemini 3.1 Pro
3000-0002,ocr2,read_area_text,ocr_qa,What text describes the flooring type in the main bedroom?,"HARDWOOD FLOOR, TYP.","HARDWOOD FLOOR, TYP.",1.0,1.0,Gemini 3.1 Pro
3000-0002,sp1,adjacency,spatial_qa,Which bedroom is adjacent to the Bath?,Main Bedroom,"Based on the provided floor plan, the **Main Bedroom** is adjacent to the Bath.",1.0,1.0,Gemini 3.1 Pro
3000-0002,cnt1,count_windows,counting_qa,How many windows are available for the main bedroom?,Three (3) windows,"Based on the provided floor plan, there are **3** windows in the main bedroom.",1.0,1.0,Gemini 3.1 Pro
3000-0002,cmp1,closest_to_bath,comparison_qa,Which room is closest to the Bath?,Main Bedroom,"Based on the provided floor plan, the **Main Bedroom** and the **Hall** are both directly adjacent to the Bath. The door to the Bath opens directly into the Hall.",1.0,1.0,Gemini 3.1 Pro
3000-0002,cmp2,largest_room,comparison_qa,Which room has the largest area?,Main Bedroom,"Based on the provided floor plan, the **Main Bedroom** has the largest area.",1.0,1.0,Gemini 3.1 Pro
3000-0002,cmp3,closest_to_staircase,comparison_qa,Which room has the closest access to the STAIRS through the hall?,The bedroom,BEDROOM,1.0,1.0,Gemini 3.1 Pro
3000-0002,cmp4,access_to_roof,comparison_qa,Which room has a window view access to the back addition lean-to-roof? the bath or the bedroom?,The bath,"Based on the provided drawing, the room with a window view access to the back addition lean-to roof is **the bath**.",1.0,1.0,Gemini 3.1 Pro
3000-0003,ocr1,read_room_label,ocr_qa,What is the name of the large room on the lower half of the plan?,LIVING / DINING ROOM,Living / Dining Room,1.0,1.0,Gemini 3.1 Pro
3000-0003,ocr2,read_door_lable,ocr_qa,What is the name of the door that connects the Kitchen and the MUDROOM?,B,"Based on the provided architectural drawing, the door that connects the Kitchen and the MUDROOM is labeled with a hexagonal tag containing the letter **B**.

Therefore, the name of the door is **Door B**.",1.0,1.0,Gemini 3.1 Pro
3000-0003,sp1,kitchen_feature,spatial_qa,What major appliance is positioned directly across from the kitchen sink?,The refrigerator (REF).,"Based on the floor plan, the major appliance positioned directly across from the kitchen sink is the **refrigerator** (labeled ""REF"").",1.0,1.0,Gemini 3.1 Pro
3000-0003,sp2,adjacency,spatial_qa,Which room is directly connected to the KITCHEN with 32x80 cased opening?,The LIVING/DINING ROOM,LIVING / DINING ROOM,1.0,1.0,Gemini 3.1 Pro
3000-0003,sp3,access_to_outside,spatial_qa,Which room has direct access to the SCREEN PORCH?,Main Bedroom,"Based on the floor plan, the **MAIN BEDROOM** has direct access to the SCREEN PORCH.",1.0,1.0,Gemini 3.1 Pro
3000-0003,cnt1,count_windows,counting_qa,How many windows are available for the living/dinning space?,Four (4),"Based on the provided floor plan, there are **3** windows in the living/dining room (one on the left wall and two on the bottom wall).",0.0,0.0,Gemini 3.1 Pro
3000-0003,cmp1,largest_room,comparison_qa,Which room has the largest area?,Living / Dining Room,Living / Dining Room,1.0,1.0,Gemini 3.1 Pro
3000-0003,cmp2,close_access,comparison_qa,Which room is closely accessible from the living/dinning room? the Screen porch or the mudroom?,The mudroom,"Based on the floor plan, the **mudroom** is more closely accessible from the living/dining room. You can reach it directly through the kitchen, whereas reaching the screen porch requires going through the main bedroom.",1.0,1.0,Gemini 3.1 Pro
3000-0004,ocr1,read_slope,ocr_qa,What is the slope indicated for the lower shed roof?,2.0/12,"Based on the drawing, the slope indicated for the lower shed roof is **2/12**.",1.0,1.0,Gemini 3.1 Pro
3000-0004,ocr2,read_area_text,ocr_qa,What flooring type is specified for the front bedrooms?,"HARDWOOD FLOOR, TYP.","Based on the provided drawing, the flooring type specified for the front bedrooms is **hardwood** (indicated by the note ""HARDWOOD FLOOR, TYP."").",1.0,1.0,Gemini 3.1 Pro
3000-0004,sp1,window_shed_roof,spatial_qa,Which room has window facing the shed roof?,REAR BEDROOM,"Based on the provided architectural drawing, the rooms that have a window facing the lower shed roof are the **Bath**, the **Hall**, and the **Rear Bedroom**.",1.0,1.0,Gemini 3.1 Pro
3000-0004,sp2,no_built_in_closet,spatial_qa,Which bedroom has no built-in closet?,REAR BEDROOM,"Based on the provided floor plan, the **Rear Bedroom** has no built-in closet.",1.0,1.0,Gemini 3.1 Pro
3000-0004,cnt1,count_window,counting_qa,How many windows does the BATH have?,One (1) window,"Based on the provided floor plan, the BATH has 2 windows.",0.0,0.0,Gemini 3.1 Pro
3000-0004,cmp1,largest_bedrooms,comparison_qa,Which bedroom has the largest area?,Bedroom on the bottom/lower left corner,"Based on the dimensions provided in the floor plan:

*   **Rear Bedroom:** ~10' x 10' (exterior), yielding an interior area of approximately **81–83 sq ft**.
*   **Bottom Left Bedroom:** 11'-1"" x 7'-1"" (interior), yielding an area of approximately **78.5 sq ft**.
*   **Bottom Right Bedroom:** 9'-11"" x ~6'-9"" (interior), yielding an area of approximately **67 sq ft**.

The **Rear Bedroom** has the largest area.",0.0,0.0,Gemini 3.1 Pro
3000-0004,cmp2,more_windows,comparison_qa,Which bedroom has more windows?,Bedroom on the bottom/lower left corner.,"Based on the provided floor plan, the **bottom left bedroom** has the most windows (three windows).",1.0,1.0,Gemini 3.1 Pro
3000-0004,cmp3,fewer_windows,comparison_qa,Which bedroom has fewer windows?,Bedroom on the bottom/lower right corner.,"Based on the provided floor plan:

*   The **bottom left bedroom** has **3** windows.
*   The **bottom right bedroom** has **1** window.
*   The **rear bedroom** has **1** window.

Comparing the two main front bedrooms, the **bottom right bedroom** has fewer windows.",1.0,1.0,Gemini 3.1 Pro
3000-0005,ocr1,read_room_label,ocr_qa,What is the name of the room adjacent to the KITCHEN on the right?,MUDROOM,"Based on the provided floor plan, the room adjacent to the KITCHEN on the right is the **MUDROOM**.",1.0,1.0,Gemini 3.1 Pro
3000-0005,ocr2,read_material_label,ocr_qa,What is the minimum clearance specified between the coats room to the stairs?,Minimum of 3',"Based on the provided drawing, the minimum clearance specified between the coats room and the stairs is **3' MIN CLEAR**.",1.0,1.0,Gemini 3.1 Pro
3000-0005,sp1,room_identification,spatial_qa,What is the name of the room located next to the DINING area on the right?,KITCHEN,Kitchen,1.0,1.0,Gemini 3.1 Pro
3000-0005,sp2,access_to_stairs,spatial_qa,Which room gives direct access to the stairs to the upper level?,LIVING ROOM,"Based on the provided floor plan, the room that gives direct access to the stairs to the upper level is the **Living Room**.",1.0,1.0,Gemini 3.1 Pro
3000-0005,sp3,access_to_outside,spatial_qa,Which room provides direct access to the 3'x4' back stoop?,Mudroom,"Based on the provided floor plan, the **Mudroom** provides direct access to the 3'x4' back stoop.",1.0,1.0,Gemini 3.1 Pro
3000-0005,cnt1,count_toilet,counting_qa,How many toilets (W.C) does the floor plan have?,One (1) toilet/W.C,"Based on the floor plan provided, there is **1** toilet (located in the room labeled ""WC"").",1.0,1.0,Gemini 3.1 Pro
3000-0005,cmp1,largest_space,comparison_qa,Which space has the largest area?,Living Room,"Based on the provided floor plan, the space with the largest area is the **Living Room**.",1.0,1.0,Gemini 3.1 Pro
3000-0005,cmp2,larger_space,comparison_qa,Which room has more space? the WC or the MUDROOM?,The MUDROOM,"Based on the provided floor plan, the **MUDROOM** has more space.",1.0,1.0,Gemini 3.1 Pro
Apple-headquarter-plan-15-page-01,ocr1,consulting_firms,ocr_qa,What are the consulting firms listed in the title block?,"6 consulting firms: Foster + Partners, Arup, OLIN, KIER & WRIGHT, alta and WATRY DESIGN, INC.","Based on the title block on the right side of the drawing, the consulting firms listed are:

*   Foster + Partners
*   ARUP
*   OLIN
*   KIER & WRIGHT
*   alta PLANNING + DESIGN
*   WATRY DESIGN, INC.",1.0,1.0,Gemini 3.1 Pro
Apple-headquarter-plan-15-page-01,ocr2,read_titleblock_client,ocr_qa,What is the client of the project written on the title block?,Apple Inc.,"Based on the title block in the drawing, the client of the project is **Apple Inc.**",1.0,1.0,Gemini 3.1 Pro
Apple-headquarter-plan-15-page-01,ocr3,read_project_name,ocr_qa,What is the project name written on the title block?,Apple Campus 2,Apple Campus 2,1.0,1.0,Gemini 3.1 Pro
Apple-headquarter-plan-15-page-01,ocr4,scale_reading,ocr_qa,What scale is listed in the title block for this plan?,"1"" = 64'","Based on the title block in the bottom right corner of the drawing, the scale is **1""=64'**.",1.0,1.0,Gemini 3.1 Pro
Apple-headquarter-plan-15-page-01,ocr5,internal_radius,ocr_qa,What is the internal radius of the circular building?,"580'-11""","Based on the provided architectural drawing, the internal radius of the circular building is **580'-11""**.",1.0,1.0,Gemini 3.1 Pro
Apple-headquarter-plan-15-page-01,ocr6,external_radius,ocr_qa,What is the external (outer) radius of the circular building?,"760'-7""","Based on the provided architectural drawing, the external (outer) radius of the circular building is **760'-7""**.",1.0,1.0,Gemini 3.1 Pro
Apple-headquarter-plan-15-page-01,ocr7,restaurant_space,ocr_qa,What is the size of Restaurant space in square feet?,"58,000 square feet","Based on the provided drawing, the size of the Restaurant space is **58,000 sq ft**.",1.0,1.0,Gemini 3.1 Pro
Apple-headquarter-plan-15-page-01,ocr8,right_side_road,ocr_qa,What is the name of the road labeled to the right side of the plan?,TANTAU AVENUE,"Based on the architectural drawing provided, the name of the road labeled on the right side is **Tantau Avenue**.",1.0,1.0,Gemini 3.1 Pro
Apple-headquarter-plan-15-page-01,sp1,adjacency,spatial_qa,"Which side of the ring (north, south, east, or west), on the drawing, has the Apple transit center Bus drop off area?",East,East side,1.0,1.0,Gemini 3.1 Pro
Apple-headquarter-plan-15-page-01,cnt1,count_access_cores,counting_qa,How many labeled access blocks are distributed around the building ring?,Nine (9),"Based on the architectural drawing, there are **5** labeled access blocks distributed around the building ring. They are identifiable as distinct rectangular structures cutting across the ring, each labeled with ""+164.0"".",0.0,0.0,Gemini 3.1 Pro
Apple-headquarter-plan-15-page-01,cnt2,count_radial_paths,counting_qa,How many radial pedestrian paths originate from the courtyard center and extend outward?,Nine (9),"Based on the architectural drawing, there are **4** radial pedestrian paths that extend outward from the central courtyard area, passing through the main circular building.",0.0,0.0,Gemini 3.1 Pro
Apple-headquarter-plan-15-page-01,cmp1,more_core_access_quadrant,comparison_qa,Which quadrant of the circular building is closer to the Tantau Auditorium and Visitor Parking Structure?,Quadrant 4 or the bottom right corner.,"Based on the provided drawing, the **Southeast quadrant** of the circular building is closer to the Tantau Auditorium and Visitor Parking Structure (located in the bottom right corner of the plan).",1.0,1.0,Gemini 3.1 Pro
Apple-headquarter-plan-15-page-02,ocr1,scale_reading,ocr_qa,What is the drawing scale indicated in the title block?,"1"" = 64'","Based on the title block in the bottom right corner of the drawing, the indicated scale is:

**1""=64'**",1.0,1.0,Gemini 3.1 Pro
Apple-headquarter-plan-15-page-02,ocr2,sheet_number,ocr_qa,What sheet number is shown for this drawing?,P-8.02,"Based on the title block in the bottom right corner of the drawing, the sheet number is **P-8.02**.",1.0,1.0,Gemini 3.1 Pro
Apple-headquarter-plan-15-page-02,ocr3,issued_date,ocr_qa,When was the issued date for the 'Planned development permit' revision?,08/09/11,"Based on the revision block on the right side of the drawing, the issued date for the 'Planned Development Permit' is **08/09/11**.",1.0,1.0,Gemini 3.1 Pro
Apple-headquarter-plan-15-page-02,sp1,orientation,spatial_qa,Are the access blocks positioned symmetrically across opposite sides of the ring?,"No, not symmetrically.","Based on the provided architectural drawing, the answer is **No**.

For example, there is an access block on the far left side (9 o'clock position) and at the bottom (6 o'clock position), but there are no corresponding blocks directly opposite them on the right side (3 o'clock) or top (12 o'clock).",1.0,1.0,Gemini 3.1 Pro
Apple-headquarter-plan-15-page-02,sp2,general_notes_location,spatial_qa,Where is the General notes section located in the drawing?,The top right corner of the drawing.,"Based on the drawing provided, the General notes section is located in the **top right corner**.",1.0,1.0,Gemini 3.1 Pro
Apple-headquarter-plan-15-page-02,cnt1,count_access_cores,counting_qa,How many labeled access blocks are distributed around the building ring on this sheet?,Nine (9),"Based on the provided architectural drawing, there are **8** access blocks distributed around the building ring.",0.0,0.0,Gemini 3.1 Pro
Apple-headquarter-plan-15-page-02,cnt2,count_radial_dividers,counting_qa,How many radial division lines extend from the center to the ring?,Eight (8),"Based on the architectural drawing, there are **8** radial division lines extending from the center to the ring.",1.0,1.0,Gemini 3.1 Pro
Apple-headquarter-plan-15-page-02,cnt3,count_section_callouts,counting_qa,How many section view callouts are present in the drawing?,Three (3),"Based on the drawing, there are 3 section view callouts present.",1.0,1.0,Gemini 3.1 Pro
Apple-headquarter-plan-15-page-02,cnt4,count_consultants,counting_qa,How many consulting firms are included on this floor plan?,Five (5) consultants.,"Based on the title block on the right side of the drawing, there are **5** consulting firms listed:

1.  Foster + Partners
2.  ARUP
3.  OLIN
4.  KIER & WRIGHT
5.  alta",1.0,1.0,Gemini 3.1 Pro
Apple-headquarter-plan-15-page-02,cmp1,more_core_access_quadrant,comparison_qa,Which quadrant of the circular building has more core access?,Quadrant 1 or the top right corner.,"Based on the provided architectural drawing, the **top right quadrant** has more core access. It contains two distinct core blocks between the main axes, whereas the other three quadrants only contain one.",1.0,1.0,Gemini 3.1 Pro
Apple-headquarter-plan-15-page-07,ocr1,sheet_title,ocr_qa,What is the sheet title printed in the title block?,Main Building Basement Level 1 Stall Size Plan,"Based on the title block located on the right side of the drawing, the sheet title is:

**Main Building Basement Level 1 Stall Size Plan**",1.0,1.0,Gemini 3.1 Pro
Apple-headquarter-plan-15-page-07,ocr2,sheet_number,ocr_qa,What sheet number is shown for this drawing?,P-8.09,"Based on the title block in the bottom right corner of the drawing, the sheet number is **P-8.09**.",1.0,1.0,Gemini 3.1 Pro
Apple-headquarter-plan-15-page-07,ocr3,scale_reading,ocr_qa,What is the drawing scale indicated in the title block?,"1"" = 64'","Based on the title block in the bottom right corner of the drawing, the indicated scale is **1""=64'**.",1.0,1.0,Gemini 3.1 Pro
Apple-headquarter-plan-15-page-07,sp1,legend_location,spatial_qa,Where on the sheet is the legend describing the parking space types located?,In the upper-left portion of the drawing area.,Top left corner,1.0,1.0,Gemini 3.1 Pro
Apple-headquarter-plan-15-page-07,sp2,titleblock_location,spatial_qa,Where is the main title block located on the sheet?,Along the right edge near the lower-right corner.,Right side,0.0,0.0,Gemini 3.1 Pro
Apple-headquarter-plan-15-page-07,cnt1,total_parking_spaces,counting_qa,How many total parking spaces are provided on Basement Level 01 according to the legend?,"1,140 parking spaces","Based on the legend in the top left corner of the drawing, there are **1,140** total parking spaces provided on Basement Level 01.",1.0,1.0,Gemini 3.1 Pro
Apple-headquarter-plan-15-page-07,cnt2,standard_parking_count,counting_qa,How many Standard parking spaces are indicated in the legend?,394 Standard parking spaces,"Based on the legend in the top left corner of the drawing, there are **394** Standard parking spaces indicated.",1.0,1.0,Gemini 3.1 Pro
Apple-headquarter-plan-15-page-07,cnt3,charging_and_accessible_counts,counting_qa,How many Accessible parking spaces and Electrical charging stations are indicated in the legend?,21 Accessible parking spaces and 270 Electrical charging stations,"Based on the legend in the top left corner of the drawing:

*   **Accessible parking spaces:** 21
*   **Electrical charging stations:** 270",1.0,1.0,Gemini 3.1 Pro
Apple-headquarter-plan-15-page-07,cnt4,count_consultants,counting_qa,How many consulting firms are included on this floor plan?,Four (4) consultants.,"Based on the title block on the right side of the drawing, there are **4** consulting firms listed:

1.  Foster + Partners
2.  ARUP
3.  OLIN
4.  KIER & WRIGHT",1.0,1.0,Gemini 3.1 Pro
Apple-headquarter-plan-15-page-07,cmp1,no_internal_ramp_quadrant,comparison_qa,Which quadrant has no internal ramps?,The 3rd quadrant or the bottom left quadrant.,"Based on the legend, internal ramps are indicated by the color red. Looking at the circular floor plan:

*   The top-left quadrant has a red section.
*   The bottom-left quadrant has a red section.
*   The bottom-right quadrant has a red section.
*   The top-right quadrant does not have any red sections.

**Top-right quadrant**",0.0,0.0,Gemini 3.1 Pro
